"numberOfPrivateMethods","fanOut","cbo","numberOfLinesOfCode","rfc","directory","k"
5,18,21,263,71,"mylyn","single-version-ck-oo.csv"
1,2,2,41,18,"mylyn","single-version-ck-oo.csv"
2,5,10,116,48,"mylyn","single-version-ck-oo.csv"
8,2,11,193,111,"mylyn","single-version-ck-oo.csv"
0,0,5,33,12,"mylyn","single-version-ck-oo.csv"
0,0,1,8,5,"mylyn","single-version-ck-oo.csv"
0,1,2,9,5,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,7,10,65,32,"mylyn","single-version-ck-oo.csv"
0,8,8,32,19,"mylyn","single-version-ck-oo.csv"
0,3,3,81,22,"mylyn","single-version-ck-oo.csv"
0,2,29,57,26,"mylyn","single-version-ck-oo.csv"
5,7,9,221,91,"mylyn","single-version-ck-oo.csv"
0,1,8,3,3,"mylyn","single-version-ck-oo.csv"
2,6,6,193,39,"mylyn","single-version-ck-oo.csv"
0,2,7,39,13,"mylyn","single-version-ck-oo.csv"
0,0,1,2,1,"mylyn","single-version-ck-oo.csv"
0,4,5,23,15,"mylyn","single-version-ck-oo.csv"
1,7,7,64,28,"mylyn","single-version-ck-oo.csv"
0,0,2,6,3,"mylyn","single-version-ck-oo.csv"
0,1,17,20,5,"mylyn","single-version-ck-oo.csv"
1,7,10,70,39,"mylyn","single-version-ck-oo.csv"
0,1,2,9,5,"mylyn","single-version-ck-oo.csv"
0,4,4,59,18,"mylyn","single-version-ck-oo.csv"
0,0,0,64,12,"mylyn","single-version-ck-oo.csv"
12,30,32,1346,475,"mylyn","single-version-ck-oo.csv"
2,9,14,53,27,"mylyn","single-version-ck-oo.csv"
2,37,42,681,309,"mylyn","single-version-ck-oo.csv"
1,7,7,54,28,"mylyn","single-version-ck-oo.csv"
1,3,5,87,39,"mylyn","single-version-ck-oo.csv"
0,2,3,4,5,"mylyn","single-version-ck-oo.csv"
0,0,2,16,6,"mylyn","single-version-ck-oo.csv"
0,0,0,0,0,"mylyn","single-version-ck-oo.csv"
0,7,8,24,18,"mylyn","single-version-ck-oo.csv"
0,0,0,3,1,"mylyn","single-version-ck-oo.csv"
0,3,5,10,7,"mylyn","single-version-ck-oo.csv"
1,6,7,102,68,"mylyn","single-version-ck-oo.csv"
1,13,14,60,32,"mylyn","single-version-ck-oo.csv"
0,6,7,139,98,"mylyn","single-version-ck-oo.csv"
0,0,2,6,3,"mylyn","single-version-ck-oo.csv"
0,1,2,62,10,"mylyn","single-version-ck-oo.csv"
0,2,2,20,4,"mylyn","single-version-ck-oo.csv"
1,5,7,132,22,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
9,4,9,246,59,"mylyn","single-version-ck-oo.csv"
0,3,7,57,28,"mylyn","single-version-ck-oo.csv"
0,1,9,51,16,"mylyn","single-version-ck-oo.csv"
0,5,6,29,21,"mylyn","single-version-ck-oo.csv"
4,12,12,126,67,"mylyn","single-version-ck-oo.csv"
0,0,1,0,1,"mylyn","single-version-ck-oo.csv"
0,0,2,16,5,"mylyn","single-version-ck-oo.csv"
0,2,88,12,23,"mylyn","single-version-ck-oo.csv"
1,5,7,39,25,"mylyn","single-version-ck-oo.csv"
4,10,11,110,63,"mylyn","single-version-ck-oo.csv"
0,1,2,15,7,"mylyn","single-version-ck-oo.csv"
3,11,12,166,74,"mylyn","single-version-ck-oo.csv"
0,2,2,14,11,"mylyn","single-version-ck-oo.csv"
0,10,14,85,20,"mylyn","single-version-ck-oo.csv"
0,0,6,68,24,"mylyn","single-version-ck-oo.csv"
0,13,13,90,50,"mylyn","single-version-ck-oo.csv"
0,9,9,47,30,"mylyn","single-version-ck-oo.csv"
0,15,16,96,37,"mylyn","single-version-ck-oo.csv"
5,11,12,136,60,"mylyn","single-version-ck-oo.csv"
10,23,26,212,117,"mylyn","single-version-ck-oo.csv"
2,4,4,91,29,"mylyn","single-version-ck-oo.csv"
0,1,3,27,6,"mylyn","single-version-ck-oo.csv"
0,2,5,56,24,"mylyn","single-version-ck-oo.csv"
0,7,10,96,48,"mylyn","single-version-ck-oo.csv"
0,1,5,55,23,"mylyn","single-version-ck-oo.csv"
1,3,5,97,54,"mylyn","single-version-ck-oo.csv"
5,10,11,190,82,"mylyn","single-version-ck-oo.csv"
0,4,5,39,23,"mylyn","single-version-ck-oo.csv"
0,4,4,15,11,"mylyn","single-version-ck-oo.csv"
0,9,10,84,36,"mylyn","single-version-ck-oo.csv"
3,11,12,162,82,"mylyn","single-version-ck-oo.csv"
0,3,4,156,76,"mylyn","single-version-ck-oo.csv"
0,1,4,12,6,"mylyn","single-version-ck-oo.csv"
9,20,20,405,151,"mylyn","single-version-ck-oo.csv"
0,6,7,104,31,"mylyn","single-version-ck-oo.csv"
3,4,6,173,58,"mylyn","single-version-ck-oo.csv"
1,6,6,111,32,"mylyn","single-version-ck-oo.csv"
0,1,9,45,14,"mylyn","single-version-ck-oo.csv"
0,3,6,15,10,"mylyn","single-version-ck-oo.csv"
0,11,12,72,34,"mylyn","single-version-ck-oo.csv"
15,23,27,1448,415,"mylyn","single-version-ck-oo.csv"
0,0,0,12,4,"mylyn","single-version-ck-oo.csv"
1,6,8,54,17,"mylyn","single-version-ck-oo.csv"
0,2,2,14,8,"mylyn","single-version-ck-oo.csv"
10,22,22,328,109,"mylyn","single-version-ck-oo.csv"
0,3,4,39,18,"mylyn","single-version-ck-oo.csv"
0,3,3,8,7,"mylyn","single-version-ck-oo.csv"
0,1,2,27,7,"mylyn","single-version-ck-oo.csv"
1,10,21,83,31,"mylyn","single-version-ck-oo.csv"
1,7,9,78,47,"mylyn","single-version-ck-oo.csv"
1,1,3,9,3,"mylyn","single-version-ck-oo.csv"
1,5,12,114,44,"mylyn","single-version-ck-oo.csv"
0,4,4,50,18,"mylyn","single-version-ck-oo.csv"
3,15,16,226,96,"mylyn","single-version-ck-oo.csv"
10,3,3,7509,1266,"mylyn","single-version-ck-oo.csv"
0,5,49,140,54,"mylyn","single-version-ck-oo.csv"
0,2,3,44,22,"mylyn","single-version-ck-oo.csv"
4,11,11,220,64,"mylyn","single-version-ck-oo.csv"
0,3,6,38,18,"mylyn","single-version-ck-oo.csv"
1,8,9,58,36,"mylyn","single-version-ck-oo.csv"
7,9,10,135,35,"mylyn","single-version-ck-oo.csv"
0,2,6,63,23,"mylyn","single-version-ck-oo.csv"
0,1,4,3,3,"mylyn","single-version-ck-oo.csv"
0,0,0,9,3,"mylyn","single-version-ck-oo.csv"
1,27,30,96,58,"mylyn","single-version-ck-oo.csv"
0,0,1,6,2,"mylyn","single-version-ck-oo.csv"
0,0,3,10,3,"mylyn","single-version-ck-oo.csv"
1,1,2,26,11,"mylyn","single-version-ck-oo.csv"
0,1,1,38,10,"mylyn","single-version-ck-oo.csv"
0,1,2,25,8,"mylyn","single-version-ck-oo.csv"
0,0,2,0,1,"mylyn","single-version-ck-oo.csv"
0,2,2,15,7,"mylyn","single-version-ck-oo.csv"
3,9,10,124,43,"mylyn","single-version-ck-oo.csv"
0,0,0,10,5,"mylyn","single-version-ck-oo.csv"
0,0,14,14,4,"mylyn","single-version-ck-oo.csv"
2,14,16,230,74,"mylyn","single-version-ck-oo.csv"
0,0,2,24,11,"mylyn","single-version-ck-oo.csv"
0,1,1,22,9,"mylyn","single-version-ck-oo.csv"
8,16,45,226,125,"mylyn","single-version-ck-oo.csv"
1,7,9,90,34,"mylyn","single-version-ck-oo.csv"
0,1,1,38,10,"mylyn","single-version-ck-oo.csv"
0,2,2,61,23,"mylyn","single-version-ck-oo.csv"
5,0,3,105,34,"mylyn","single-version-ck-oo.csv"
0,1,1,12,7,"mylyn","single-version-ck-oo.csv"
0,2,42,75,40,"mylyn","single-version-ck-oo.csv"
0,9,20,67,45,"mylyn","single-version-ck-oo.csv"
0,0,1,8,4,"mylyn","single-version-ck-oo.csv"
0,3,11,60,34,"mylyn","single-version-ck-oo.csv"
0,4,5,8,16,"mylyn","single-version-ck-oo.csv"
3,6,7,172,52,"mylyn","single-version-ck-oo.csv"
0,2,2,12,7,"mylyn","single-version-ck-oo.csv"
0,1,9,47,15,"mylyn","single-version-ck-oo.csv"
0,1,1,13,7,"mylyn","single-version-ck-oo.csv"
1,1,2,48,14,"mylyn","single-version-ck-oo.csv"
1,6,29,88,36,"mylyn","single-version-ck-oo.csv"
0,2,5,37,14,"mylyn","single-version-ck-oo.csv"
0,0,3,12,4,"mylyn","single-version-ck-oo.csv"
10,25,42,389,196,"mylyn","single-version-ck-oo.csv"
0,2,6,96,41,"mylyn","single-version-ck-oo.csv"
3,11,16,260,140,"mylyn","single-version-ck-oo.csv"
4,14,15,309,159,"mylyn","single-version-ck-oo.csv"
0,2,2,17,11,"mylyn","single-version-ck-oo.csv"
0,0,0,20,11,"mylyn","single-version-ck-oo.csv"
0,7,8,44,20,"mylyn","single-version-ck-oo.csv"
0,2,2,21,8,"mylyn","single-version-ck-oo.csv"
1,4,7,32,14,"mylyn","single-version-ck-oo.csv"
0,2,2,46,26,"mylyn","single-version-ck-oo.csv"
0,6,14,50,24,"mylyn","single-version-ck-oo.csv"
0,1,2,7,3,"mylyn","single-version-ck-oo.csv"
0,0,0,0,0,"mylyn","single-version-ck-oo.csv"
0,1,1,9,5,"mylyn","single-version-ck-oo.csv"
1,2,29,47,21,"mylyn","single-version-ck-oo.csv"
0,0,1,12,4,"mylyn","single-version-ck-oo.csv"
2,9,10,198,73,"mylyn","single-version-ck-oo.csv"
0,3,3,103,89,"mylyn","single-version-ck-oo.csv"
0,3,10,162,54,"mylyn","single-version-ck-oo.csv"
0,1,6,41,14,"mylyn","single-version-ck-oo.csv"
0,0,3,11,3,"mylyn","single-version-ck-oo.csv"
2,3,4,24,14,"mylyn","single-version-ck-oo.csv"
0,0,3,10,3,"mylyn","single-version-ck-oo.csv"
0,1,1,8,4,"mylyn","single-version-ck-oo.csv"
0,3,4,18,9,"mylyn","single-version-ck-oo.csv"
0,12,22,191,51,"mylyn","single-version-ck-oo.csv"
0,0,1,23,7,"mylyn","single-version-ck-oo.csv"
0,1,2,15,11,"mylyn","single-version-ck-oo.csv"
0,5,5,18,10,"mylyn","single-version-ck-oo.csv"
0,4,6,13,9,"mylyn","single-version-ck-oo.csv"
0,1,1,3,3,"mylyn","single-version-ck-oo.csv"
1,0,0,2,1,"mylyn","single-version-ck-oo.csv"
0,1,7,25,15,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,0,0,5,2,"mylyn","single-version-ck-oo.csv"
0,1,1,22,7,"mylyn","single-version-ck-oo.csv"
0,1,5,54,22,"mylyn","single-version-ck-oo.csv"
0,3,9,59,25,"mylyn","single-version-ck-oo.csv"
6,9,9,265,70,"mylyn","single-version-ck-oo.csv"
2,4,5,116,32,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,3,3,44,12,"mylyn","single-version-ck-oo.csv"
0,0,1,21,7,"mylyn","single-version-ck-oo.csv"
3,8,15,294,116,"mylyn","single-version-ck-oo.csv"
0,1,1,66,8,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,1,9,55,14,"mylyn","single-version-ck-oo.csv"
1,0,1,69,19,"mylyn","single-version-ck-oo.csv"
0,1,1,19,9,"mylyn","single-version-ck-oo.csv"
0,4,4,37,13,"mylyn","single-version-ck-oo.csv"
0,2,2,12,7,"mylyn","single-version-ck-oo.csv"
0,0,0,3,1,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,7,8,39,20,"mylyn","single-version-ck-oo.csv"
0,1,1,11,6,"mylyn","single-version-ck-oo.csv"
0,0,4,23,7,"mylyn","single-version-ck-oo.csv"
0,0,4,3,1,"mylyn","single-version-ck-oo.csv"
0,3,3,25,13,"mylyn","single-version-ck-oo.csv"
15,2,4,671,104,"mylyn","single-version-ck-oo.csv"
0,1,3,7,5,"mylyn","single-version-ck-oo.csv"
0,16,16,59,36,"mylyn","single-version-ck-oo.csv"
0,0,0,38,13,"mylyn","single-version-ck-oo.csv"
1,1,3,42,10,"mylyn","single-version-ck-oo.csv"
0,1,2,9,5,"mylyn","single-version-ck-oo.csv"
1,3,4,20,12,"mylyn","single-version-ck-oo.csv"
0,4,7,33,9,"mylyn","single-version-ck-oo.csv"
0,11,12,346,84,"mylyn","single-version-ck-oo.csv"
1,13,13,69,39,"mylyn","single-version-ck-oo.csv"
0,0,2,7,2,"mylyn","single-version-ck-oo.csv"
0,1,3,31,15,"mylyn","single-version-ck-oo.csv"
1,15,18,191,88,"mylyn","single-version-ck-oo.csv"
0,1,1,32,10,"mylyn","single-version-ck-oo.csv"
1,7,8,86,49,"mylyn","single-version-ck-oo.csv"
0,0,0,3,1,"mylyn","single-version-ck-oo.csv"
0,4,4,93,43,"mylyn","single-version-ck-oo.csv"
0,5,10,43,21,"mylyn","single-version-ck-oo.csv"
0,0,6,9,4,"mylyn","single-version-ck-oo.csv"
0,1,1,25,14,"mylyn","single-version-ck-oo.csv"
0,0,0,29,4,"mylyn","single-version-ck-oo.csv"
1,4,15,69,29,"mylyn","single-version-ck-oo.csv"
0,4,5,64,20,"mylyn","single-version-ck-oo.csv"
2,9,12,77,52,"mylyn","single-version-ck-oo.csv"
0,0,2,13,5,"mylyn","single-version-ck-oo.csv"
0,1,5,26,11,"mylyn","single-version-ck-oo.csv"
1,9,10,69,30,"mylyn","single-version-ck-oo.csv"
1,3,5,79,36,"mylyn","single-version-ck-oo.csv"
1,8,8,165,64,"mylyn","single-version-ck-oo.csv"
0,2,7,55,24,"mylyn","single-version-ck-oo.csv"
6,22,27,527,182,"mylyn","single-version-ck-oo.csv"
0,2,3,31,8,"mylyn","single-version-ck-oo.csv"
0,2,2,20,11,"mylyn","single-version-ck-oo.csv"
0,1,2,9,5,"mylyn","single-version-ck-oo.csv"
0,0,0,75,22,"mylyn","single-version-ck-oo.csv"
1,9,10,180,72,"mylyn","single-version-ck-oo.csv"
0,1,1,32,9,"mylyn","single-version-ck-oo.csv"
2,40,44,374,227,"mylyn","single-version-ck-oo.csv"
0,1,1,8,4,"mylyn","single-version-ck-oo.csv"
0,3,7,58,29,"mylyn","single-version-ck-oo.csv"
0,3,5,18,9,"mylyn","single-version-ck-oo.csv"
3,2,3,45,29,"mylyn","single-version-ck-oo.csv"
1,1,2,9,3,"mylyn","single-version-ck-oo.csv"
0,1,1,11,8,"mylyn","single-version-ck-oo.csv"
0,6,12,82,39,"mylyn","single-version-ck-oo.csv"
3,6,14,186,69,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,6,10,75,31,"mylyn","single-version-ck-oo.csv"
1,9,9,115,43,"mylyn","single-version-ck-oo.csv"
0,1,2,4,2,"mylyn","single-version-ck-oo.csv"
0,4,5,6,9,"mylyn","single-version-ck-oo.csv"
1,5,5,48,26,"mylyn","single-version-ck-oo.csv"
0,2,3,24,15,"mylyn","single-version-ck-oo.csv"
0,2,2,53,12,"mylyn","single-version-ck-oo.csv"
1,2,2,97,28,"mylyn","single-version-ck-oo.csv"
0,0,1,64,17,"mylyn","single-version-ck-oo.csv"
0,6,6,36,20,"mylyn","single-version-ck-oo.csv"
1,2,6,34,14,"mylyn","single-version-ck-oo.csv"
4,22,26,512,285,"mylyn","single-version-ck-oo.csv"
6,8,14,195,77,"mylyn","single-version-ck-oo.csv"
0,3,6,35,15,"mylyn","single-version-ck-oo.csv"
0,1,9,30,12,"mylyn","single-version-ck-oo.csv"
2,2,2,71,38,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,2,2,18,8,"mylyn","single-version-ck-oo.csv"
0,4,74,72,41,"mylyn","single-version-ck-oo.csv"
0,5,6,41,18,"mylyn","single-version-ck-oo.csv"
2,7,8,65,44,"mylyn","single-version-ck-oo.csv"
0,1,3,11,6,"mylyn","single-version-ck-oo.csv"
3,3,5,53,25,"mylyn","single-version-ck-oo.csv"
0,15,19,99,54,"mylyn","single-version-ck-oo.csv"
1,5,6,71,37,"mylyn","single-version-ck-oo.csv"
0,10,10,166,64,"mylyn","single-version-ck-oo.csv"
0,4,5,106,36,"mylyn","single-version-ck-oo.csv"
0,2,3,25,9,"mylyn","single-version-ck-oo.csv"
0,0,2,21,8,"mylyn","single-version-ck-oo.csv"
0,0,0,3,1,"mylyn","single-version-ck-oo.csv"
6,47,259,685,260,"mylyn","single-version-ck-oo.csv"
1,0,1,23,10,"mylyn","single-version-ck-oo.csv"
1,1,2,9,3,"mylyn","single-version-ck-oo.csv"
0,0,6,0,15,"mylyn","single-version-ck-oo.csv"
0,0,1,15,5,"mylyn","single-version-ck-oo.csv"
0,1,2,23,8,"mylyn","single-version-ck-oo.csv"
0,7,7,46,24,"mylyn","single-version-ck-oo.csv"
1,5,5,79,42,"mylyn","single-version-ck-oo.csv"
0,0,1,9,5,"mylyn","single-version-ck-oo.csv"
0,3,8,45,19,"mylyn","single-version-ck-oo.csv"
2,3,3,34,19,"mylyn","single-version-ck-oo.csv"
0,4,4,67,17,"mylyn","single-version-ck-oo.csv"
0,1,2,6,3,"mylyn","single-version-ck-oo.csv"
1,3,3,12,11,"mylyn","single-version-ck-oo.csv"
1,5,6,66,32,"mylyn","single-version-ck-oo.csv"
1,1,4,12,4,"mylyn","single-version-ck-oo.csv"
0,0,0,30,13,"mylyn","single-version-ck-oo.csv"
4,6,6,89,28,"mylyn","single-version-ck-oo.csv"
0,3,4,9,8,"mylyn","single-version-ck-oo.csv"
0,0,3,10,3,"mylyn","single-version-ck-oo.csv"
0,7,7,24,20,"mylyn","single-version-ck-oo.csv"
0,2,2,12,6,"mylyn","single-version-ck-oo.csv"
0,1,1,11,4,"mylyn","single-version-ck-oo.csv"
0,0,1,10,5,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
1,7,10,60,32,"mylyn","single-version-ck-oo.csv"
0,5,6,22,10,"mylyn","single-version-ck-oo.csv"
1,6,9,219,112,"mylyn","single-version-ck-oo.csv"
0,0,4,3,2,"mylyn","single-version-ck-oo.csv"
0,0,0,18,5,"mylyn","single-version-ck-oo.csv"
0,2,11,32,12,"mylyn","single-version-ck-oo.csv"
0,0,0,16,4,"mylyn","single-version-ck-oo.csv"
0,5,6,30,18,"mylyn","single-version-ck-oo.csv"
0,2,2,25,11,"mylyn","single-version-ck-oo.csv"
0,3,3,54,25,"mylyn","single-version-ck-oo.csv"
2,12,15,110,59,"mylyn","single-version-ck-oo.csv"
0,3,3,8,8,"mylyn","single-version-ck-oo.csv"
0,0,0,6,2,"mylyn","single-version-ck-oo.csv"
0,0,0,2,1,"mylyn","single-version-ck-oo.csv"
0,9,9,62,31,"mylyn","single-version-ck-oo.csv"
0,2,2,13,8,"mylyn","single-version-ck-oo.csv"
0,7,25,78,52,"mylyn","single-version-ck-oo.csv"
0,0,1,32,9,"mylyn","single-version-ck-oo.csv"
1,3,5,142,54,"mylyn","single-version-ck-oo.csv"
0,0,0,57,21,"mylyn","single-version-ck-oo.csv"
0,1,3,6,3,"mylyn","single-version-ck-oo.csv"
0,0,3,3,3,"mylyn","single-version-ck-oo.csv"
0,2,147,21,15,"mylyn","single-version-ck-oo.csv"
0,7,8,33,28,"mylyn","single-version-ck-oo.csv"
0,0,0,3,1,"mylyn","single-version-ck-oo.csv"
1,12,12,75,42,"mylyn","single-version-ck-oo.csv"
1,1,2,9,3,"mylyn","single-version-ck-oo.csv"
0,0,0,0,0,"mylyn","single-version-ck-oo.csv"
0,0,2,13,5,"mylyn","single-version-ck-oo.csv"
0,5,5,49,21,"mylyn","single-version-ck-oo.csv"
1,10,13,41,27,"mylyn","single-version-ck-oo.csv"
0,4,4,34,18,"mylyn","single-version-ck-oo.csv"
0,3,5,34,15,"mylyn","single-version-ck-oo.csv"
0,1,1,13,8,"mylyn","single-version-ck-oo.csv"
0,21,22,120,80,"mylyn","single-version-ck-oo.csv"
1,9,14,164,60,"mylyn","single-version-ck-oo.csv"
0,1,1,10,4,"mylyn","single-version-ck-oo.csv"
0,2,3,57,8,"mylyn","single-version-ck-oo.csv"
0,4,4,23,16,"mylyn","single-version-ck-oo.csv"
1,8,9,98,58,"mylyn","single-version-ck-oo.csv"
2,3,3,40,21,"mylyn","single-version-ck-oo.csv"
0,1,1,3,3,"mylyn","single-version-ck-oo.csv"
0,2,7,47,17,"mylyn","single-version-ck-oo.csv"
0,1,2,12,8,"mylyn","single-version-ck-oo.csv"
4,10,11,56,42,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,4,24,136,52,"mylyn","single-version-ck-oo.csv"
0,14,14,194,90,"mylyn","single-version-ck-oo.csv"
0,0,0,3,1,"mylyn","single-version-ck-oo.csv"
19,31,34,359,249,"mylyn","single-version-ck-oo.csv"
0,5,6,84,32,"mylyn","single-version-ck-oo.csv"
0,2,40,51,12,"mylyn","single-version-ck-oo.csv"
0,7,9,32,22,"mylyn","single-version-ck-oo.csv"
4,8,9,205,55,"mylyn","single-version-ck-oo.csv"
1,5,9,106,59,"mylyn","single-version-ck-oo.csv"
0,1,1,9,3,"mylyn","single-version-ck-oo.csv"
3,10,16,141,70,"mylyn","single-version-ck-oo.csv"
0,7,9,70,25,"mylyn","single-version-ck-oo.csv"
3,16,16,132,63,"mylyn","single-version-ck-oo.csv"
3,11,16,166,67,"mylyn","single-version-ck-oo.csv"
0,1,1,23,4,"mylyn","single-version-ck-oo.csv"
0,0,0,22,3,"mylyn","single-version-ck-oo.csv"
1,9,24,79,34,"mylyn","single-version-ck-oo.csv"
0,0,0,26,8,"mylyn","single-version-ck-oo.csv"
0,1,1,25,8,"mylyn","single-version-ck-oo.csv"
5,24,26,189,112,"mylyn","single-version-ck-oo.csv"
1,3,4,80,19,"mylyn","single-version-ck-oo.csv"
0,0,0,3,1,"mylyn","single-version-ck-oo.csv"
0,1,1,16,7,"mylyn","single-version-ck-oo.csv"
6,3,9,263,112,"mylyn","single-version-ck-oo.csv"
0,0,0,4,1,"mylyn","single-version-ck-oo.csv"
2,19,20,170,94,"mylyn","single-version-ck-oo.csv"
2,17,19,143,71,"mylyn","single-version-ck-oo.csv"
4,2,2,190,49,"mylyn","single-version-ck-oo.csv"
0,8,8,140,59,"mylyn","single-version-ck-oo.csv"
1,1,1,33,14,"mylyn","single-version-ck-oo.csv"
2,6,10,99,52,"mylyn","single-version-ck-oo.csv"
0,6,6,98,46,"mylyn","single-version-ck-oo.csv"
5,11,16,161,66,"mylyn","single-version-ck-oo.csv"
2,3,3,37,21,"mylyn","single-version-ck-oo.csv"
0,4,5,121,54,"mylyn","single-version-ck-oo.csv"
0,5,6,82,38,"mylyn","single-version-ck-oo.csv"
0,0,1,8,1,"mylyn","single-version-ck-oo.csv"
0,0,1,32,8,"mylyn","single-version-ck-oo.csv"
0,0,1,13,6,"mylyn","single-version-ck-oo.csv"
0,12,13,103,48,"mylyn","single-version-ck-oo.csv"
1,7,10,63,37,"mylyn","single-version-ck-oo.csv"
0,3,4,48,24,"mylyn","single-version-ck-oo.csv"
0,0,3,6,3,"mylyn","single-version-ck-oo.csv"
0,4,5,57,38,"mylyn","single-version-ck-oo.csv"
0,7,22,100,62,"mylyn","single-version-ck-oo.csv"
1,6,7,33,17,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,1,3,17,10,"mylyn","single-version-ck-oo.csv"
0,2,3,25,10,"mylyn","single-version-ck-oo.csv"
0,4,6,30,9,"mylyn","single-version-ck-oo.csv"
0,1,1,18,10,"mylyn","single-version-ck-oo.csv"
0,10,11,122,51,"mylyn","single-version-ck-oo.csv"
0,1,1,9,4,"mylyn","single-version-ck-oo.csv"
3,10,60,115,58,"mylyn","single-version-ck-oo.csv"
0,0,0,10,3,"mylyn","single-version-ck-oo.csv"
1,12,13,70,34,"mylyn","single-version-ck-oo.csv"
3,21,44,385,168,"mylyn","single-version-ck-oo.csv"
3,10,15,251,67,"mylyn","single-version-ck-oo.csv"
0,1,2,14,7,"mylyn","single-version-ck-oo.csv"
0,2,6,58,21,"mylyn","single-version-ck-oo.csv"
12,12,19,347,155,"mylyn","single-version-ck-oo.csv"
0,1,2,26,9,"mylyn","single-version-ck-oo.csv"
0,5,6,37,22,"mylyn","single-version-ck-oo.csv"
2,3,4,34,18,"mylyn","single-version-ck-oo.csv"
0,3,4,78,22,"mylyn","single-version-ck-oo.csv"
0,5,6,197,75,"mylyn","single-version-ck-oo.csv"
0,0,4,38,2,"mylyn","single-version-ck-oo.csv"
1,11,11,51,29,"mylyn","single-version-ck-oo.csv"
1,11,23,505,223,"mylyn","single-version-ck-oo.csv"
0,0,1,6,3,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,0,0,7,3,"mylyn","single-version-ck-oo.csv"
0,6,6,108,42,"mylyn","single-version-ck-oo.csv"
0,0,1,12,5,"mylyn","single-version-ck-oo.csv"
0,0,1,6,3,"mylyn","single-version-ck-oo.csv"
0,2,2,24,8,"mylyn","single-version-ck-oo.csv"
4,9,9,217,49,"mylyn","single-version-ck-oo.csv"
2,26,26,258,98,"mylyn","single-version-ck-oo.csv"
0,2,8,31,15,"mylyn","single-version-ck-oo.csv"
2,14,14,126,71,"mylyn","single-version-ck-oo.csv"
0,3,3,45,19,"mylyn","single-version-ck-oo.csv"
0,3,4,29,14,"mylyn","single-version-ck-oo.csv"
0,1,3,6,4,"mylyn","single-version-ck-oo.csv"
0,3,3,51,27,"mylyn","single-version-ck-oo.csv"
1,4,5,228,65,"mylyn","single-version-ck-oo.csv"
0,12,38,345,137,"mylyn","single-version-ck-oo.csv"
1,12,15,137,74,"mylyn","single-version-ck-oo.csv"
0,1,2,23,19,"mylyn","single-version-ck-oo.csv"
0,0,1,3,2,"mylyn","single-version-ck-oo.csv"
0,5,6,186,41,"mylyn","single-version-ck-oo.csv"
1,4,13,54,28,"mylyn","single-version-ck-oo.csv"
5,6,9,404,86,"mylyn","single-version-ck-oo.csv"
0,2,3,21,11,"mylyn","single-version-ck-oo.csv"
0,0,0,3,1,"mylyn","single-version-ck-oo.csv"
0,1,2,14,6,"mylyn","single-version-ck-oo.csv"
0,1,1,31,3,"mylyn","single-version-ck-oo.csv"
3,15,23,672,197,"mylyn","single-version-ck-oo.csv"
0,1,3,4,4,"mylyn","single-version-ck-oo.csv"
0,2,3,97,40,"mylyn","single-version-ck-oo.csv"
0,3,3,25,14,"mylyn","single-version-ck-oo.csv"
3,2,2,95,17,"mylyn","single-version-ck-oo.csv"
0,2,2,82,35,"mylyn","single-version-ck-oo.csv"
3,11,27,159,79,"mylyn","single-version-ck-oo.csv"
3,23,39,238,106,"mylyn","single-version-ck-oo.csv"
6,14,37,211,112,"mylyn","single-version-ck-oo.csv"
8,12,18,147,62,"mylyn","single-version-ck-oo.csv"
0,9,11,32,21,"mylyn","single-version-ck-oo.csv"
2,10,11,115,57,"mylyn","single-version-ck-oo.csv"
1,12,14,61,44,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,0,0,21,8,"mylyn","single-version-ck-oo.csv"
0,0,0,22,5,"mylyn","single-version-ck-oo.csv"
13,35,38,488,218,"mylyn","single-version-ck-oo.csv"
0,8,10,100,31,"mylyn","single-version-ck-oo.csv"
0,1,1,4,3,"mylyn","single-version-ck-oo.csv"
0,0,6,0,20,"mylyn","single-version-ck-oo.csv"
0,0,0,8,4,"mylyn","single-version-ck-oo.csv"
0,3,3,57,17,"mylyn","single-version-ck-oo.csv"
