"wmc","numberOfLinesOfCode","fanOut","rfc","cbo","directory","k"
157,606,16,306,17,"eclipse","single-version-ck-oo.csv"
38,166,7,34,7,"eclipse","single-version-ck-oo.csv"
19,74,10,37,15,"eclipse","single-version-ck-oo.csv"
28,110,4,58,8,"eclipse","single-version-ck-oo.csv"
29,101,5,54,5,"eclipse","single-version-ck-oo.csv"
1,3,0,2,1,"eclipse","single-version-ck-oo.csv"
124,549,34,243,51,"eclipse","single-version-ck-oo.csv"
22,74,1,11,2,"eclipse","single-version-ck-oo.csv"
52,199,6,45,25,"eclipse","single-version-ck-oo.csv"
10,38,3,15,4,"eclipse","single-version-ck-oo.csv"
15,32,2,10,4,"eclipse","single-version-ck-oo.csv"
48,150,10,49,11,"eclipse","single-version-ck-oo.csv"
1,4,1,2,2,"eclipse","single-version-ck-oo.csv"
11,27,1,7,4,"eclipse","single-version-ck-oo.csv"
216,830,51,442,69,"eclipse","single-version-ck-oo.csv"
37,162,25,61,26,"eclipse","single-version-ck-oo.csv"
3,12,1,8,2,"eclipse","single-version-ck-oo.csv"
292,736,13,267,18,"eclipse","single-version-ck-oo.csv"
22,89,7,45,8,"eclipse","single-version-ck-oo.csv"
6,17,1,8,2,"eclipse","single-version-ck-oo.csv"
17,63,3,27,5,"eclipse","single-version-ck-oo.csv"
9,34,3,14,6,"eclipse","single-version-ck-oo.csv"
119,435,14,113,15,"eclipse","single-version-ck-oo.csv"
18,72,3,16,3,"eclipse","single-version-ck-oo.csv"
283,1384,9,340,12,"eclipse","single-version-ck-oo.csv"
18,57,4,30,6,"eclipse","single-version-ck-oo.csv"
4,13,1,4,3,"eclipse","single-version-ck-oo.csv"
4,17,2,8,3,"eclipse","single-version-ck-oo.csv"
19,67,9,41,12,"eclipse","single-version-ck-oo.csv"
74,281,19,150,24,"eclipse","single-version-ck-oo.csv"
8,25,2,8,3,"eclipse","single-version-ck-oo.csv"
11,34,0,9,4,"eclipse","single-version-ck-oo.csv"
36,141,8,78,8,"eclipse","single-version-ck-oo.csv"
100,274,20,89,20,"eclipse","single-version-ck-oo.csv"
34,120,19,67,21,"eclipse","single-version-ck-oo.csv"
331,1106,34,369,35,"eclipse","single-version-ck-oo.csv"
34,107,5,21,6,"eclipse","single-version-ck-oo.csv"
4,21,2,11,3,"eclipse","single-version-ck-oo.csv"
5,15,2,9,3,"eclipse","single-version-ck-oo.csv"
5,23,1,10,2,"eclipse","single-version-ck-oo.csv"
27,107,4,53,8,"eclipse","single-version-ck-oo.csv"
46,190,15,73,15,"eclipse","single-version-ck-oo.csv"
3,19,1,4,2,"eclipse","single-version-ck-oo.csv"
8,24,0,8,4,"eclipse","single-version-ck-oo.csv"
235,724,19,244,66,"eclipse","single-version-ck-oo.csv"
150,629,35,174,38,"eclipse","single-version-ck-oo.csv"
61,244,12,91,14,"eclipse","single-version-ck-oo.csv"
18,56,1,26,2,"eclipse","single-version-ck-oo.csv"
11,79,2,19,3,"eclipse","single-version-ck-oo.csv"
19,71,3,24,7,"eclipse","single-version-ck-oo.csv"
293,947,33,297,37,"eclipse","single-version-ck-oo.csv"
33,129,9,78,9,"eclipse","single-version-ck-oo.csv"
37,281,15,78,16,"eclipse","single-version-ck-oo.csv"
226,687,28,280,44,"eclipse","single-version-ck-oo.csv"
1,3,0,1,2,"eclipse","single-version-ck-oo.csv"
1,3,0,1,2,"eclipse","single-version-ck-oo.csv"
342,1440,6,84,24,"eclipse","single-version-ck-oo.csv"
3,11,2,5,3,"eclipse","single-version-ck-oo.csv"
4,17,2,10,3,"eclipse","single-version-ck-oo.csv"
66,198,10,65,11,"eclipse","single-version-ck-oo.csv"
1,3,0,1,2,"eclipse","single-version-ck-oo.csv"
260,796,8,104,11,"eclipse","single-version-ck-oo.csv"
3,11,0,3,1,"eclipse","single-version-ck-oo.csv"
94,308,13,118,18,"eclipse","single-version-ck-oo.csv"
4,12,1,7,2,"eclipse","single-version-ck-oo.csv"
1,3,0,2,0,"eclipse","single-version-ck-oo.csv"
14,48,7,27,9,"eclipse","single-version-ck-oo.csv"
88,306,10,94,35,"eclipse","single-version-ck-oo.csv"
29,87,7,47,7,"eclipse","single-version-ck-oo.csv"
100,347,4,105,8,"eclipse","single-version-ck-oo.csv"
