"linesAddedUntil.","numberOfVersionsUntil.","linesRemovedUntil.","maxLinesAddedUntil.","maxLinesRemovedUntil.","directory","k"
73,7,39,35,26,"pde","change-metrics.csv"
3,3,3,2,2,"pde","change-metrics.csv"
729,29,129,239,42,"pde","change-metrics.csv"
15,4,6,10,5,"pde","change-metrics.csv"
745,22,515,263,148,"pde","change-metrics.csv"
584,8,210,191,120,"pde","change-metrics.csv"
101,8,131,63,109,"pde","change-metrics.csv"
207,5,24,93,22,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
2,2,3,2,3,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
4,2,7,4,7,"pde","change-metrics.csv"
399,15,155,68,70,"pde","change-metrics.csv"
27,4,14,18,12,"pde","change-metrics.csv"
428,30,630,117,231,"pde","change-metrics.csv"
47,10,25,13,14,"pde","change-metrics.csv"
122,15,77,29,34,"pde","change-metrics.csv"
137,7,51,74,31,"pde","change-metrics.csv"
19,4,9,8,7,"pde","change-metrics.csv"
120,10,75,29,48,"pde","change-metrics.csv"
3,2,4,3,4,"pde","change-metrics.csv"
273,10,33,125,24,"pde","change-metrics.csv"
92,21,82,16,31,"pde","change-metrics.csv"
659,67,575,107,182,"pde","change-metrics.csv"
34,6,26,17,15,"pde","change-metrics.csv"
90,7,14,44,13,"pde","change-metrics.csv"
46,11,41,13,18,"pde","change-metrics.csv"
52,8,45,31,31,"pde","change-metrics.csv"
180,15,234,85,118,"pde","change-metrics.csv"
17,7,18,7,9,"pde","change-metrics.csv"
902,38,838,276,303,"pde","change-metrics.csv"
137,14,123,61,51,"pde","change-metrics.csv"
119,7,54,52,21,"pde","change-metrics.csv"
40,3,8,37,8,"pde","change-metrics.csv"
39,4,37,28,28,"pde","change-metrics.csv"
7,2,8,7,8,"pde","change-metrics.csv"
16,4,9,10,8,"pde","change-metrics.csv"
11,4,5,10,4,"pde","change-metrics.csv"
112,24,66,34,19,"pde","change-metrics.csv"
68,13,63,18,16,"pde","change-metrics.csv"
131,18,55,28,20,"pde","change-metrics.csv"
48,6,30,17,14,"pde","change-metrics.csv"
406,35,253,112,46,"pde","change-metrics.csv"
796,33,232,225,80,"pde","change-metrics.csv"
603,53,585,82,93,"pde","change-metrics.csv"
42,12,38,10,13,"pde","change-metrics.csv"
43,5,45,26,37,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
352,31,259,94,68,"pde","change-metrics.csv"
2209,137,1461,577,416,"pde","change-metrics.csv"
11,4,5,10,4,"pde","change-metrics.csv"
1678,34,567,563,132,"pde","change-metrics.csv"
935,49,398,148,101,"pde","change-metrics.csv"
50,11,33,18,16,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
64,4,2,31,2,"pde","change-metrics.csv"
132,6,168,118,148,"pde","change-metrics.csv"
136,19,131,91,99,"pde","change-metrics.csv"
34,4,42,23,26,"pde","change-metrics.csv"
1806,92,1584,254,500,"pde","change-metrics.csv"
55,6,38,35,30,"pde","change-metrics.csv"
12,3,2,10,2,"pde","change-metrics.csv"
174,15,117,36,44,"pde","change-metrics.csv"
204,2,0,204,0,"pde","change-metrics.csv"
675,47,502,135,134,"pde","change-metrics.csv"
30,11,19,10,5,"pde","change-metrics.csv"
38,7,33,15,11,"pde","change-metrics.csv"
164,7,30,63,20,"pde","change-metrics.csv"
12,3,26,11,14,"pde","change-metrics.csv"
549,20,136,179,48,"pde","change-metrics.csv"
13,3,5,8,4,"pde","change-metrics.csv"
75,5,87,43,38,"pde","change-metrics.csv"
387,19,177,254,45,"pde","change-metrics.csv"
68,11,44,19,27,"pde","change-metrics.csv"
1,2,2,1,2,"pde","change-metrics.csv"
2229,35,794,589,236,"pde","change-metrics.csv"
15,4,20,12,13,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
28,2,41,28,41,"pde","change-metrics.csv"
48,7,27,15,18,"pde","change-metrics.csv"
6,3,7,4,5,"pde","change-metrics.csv"
65,12,140,29,102,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
16,4,4,12,3,"pde","change-metrics.csv"
4,3,4,3,3,"pde","change-metrics.csv"
218,28,141,48,31,"pde","change-metrics.csv"
12,3,10,11,9,"pde","change-metrics.csv"
1016,44,650,173,181,"pde","change-metrics.csv"
2671,93,2481,725,421,"pde","change-metrics.csv"
33,5,25,21,21,"pde","change-metrics.csv"
162,11,188,123,123,"pde","change-metrics.csv"
37,6,24,12,15,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
1462,21,605,332,232,"pde","change-metrics.csv"
39,6,36,22,23,"pde","change-metrics.csv"
36,8,58,14,31,"pde","change-metrics.csv"
60,12,55,19,31,"pde","change-metrics.csv"
2,2,2,2,2,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
97,11,112,72,79,"pde","change-metrics.csv"
324,27,98,97,16,"pde","change-metrics.csv"
246,20,199,90,54,"pde","change-metrics.csv"
4,3,0,4,0,"pde","change-metrics.csv"
39,7,13,17,8,"pde","change-metrics.csv"
831,18,411,273,121,"pde","change-metrics.csv"
81,19,94,14,40,"pde","change-metrics.csv"
95,16,79,26,36,"pde","change-metrics.csv"
374,24,138,86,71,"pde","change-metrics.csv"
94,6,123,65,113,"pde","change-metrics.csv"
1,2,1,1,1,"pde","change-metrics.csv"
50,8,61,14,20,"pde","change-metrics.csv"
278,9,106,198,73,"pde","change-metrics.csv"
5,4,7,2,4,"pde","change-metrics.csv"
43,14,34,11,17,"pde","change-metrics.csv"
521,47,683,140,367,"pde","change-metrics.csv"
9,3,9,6,8,"pde","change-metrics.csv"
2,2,2,2,2,"pde","change-metrics.csv"
19,5,10,12,7,"pde","change-metrics.csv"
7,4,10,4,8,"pde","change-metrics.csv"
2,2,2,2,2,"pde","change-metrics.csv"
85,12,84,20,25,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
127,12,108,80,94,"pde","change-metrics.csv"
20,6,30,7,21,"pde","change-metrics.csv"
95,17,63,20,12,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
178,8,23,78,15,"pde","change-metrics.csv"
37,6,17,13,11,"pde","change-metrics.csv"
15,3,1,14,1,"pde","change-metrics.csv"
179,20,324,54,138,"pde","change-metrics.csv"
114,7,14,44,13,"pde","change-metrics.csv"
235,8,52,183,31,"pde","change-metrics.csv"
2,2,2,2,2,"pde","change-metrics.csv"
37,5,2,11,2,"pde","change-metrics.csv"
94,6,81,70,70,"pde","change-metrics.csv"
64,10,50,44,35,"pde","change-metrics.csv"
33,4,12,14,12,"pde","change-metrics.csv"
78,13,51,17,23,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
126,15,106,36,36,"pde","change-metrics.csv"
79,11,60,35,33,"pde","change-metrics.csv"
137,7,137,130,133,"pde","change-metrics.csv"
138,20,184,56,90,"pde","change-metrics.csv"
85,6,9,40,5,"pde","change-metrics.csv"
65,9,69,43,53,"pde","change-metrics.csv"
33,9,27,15,12,"pde","change-metrics.csv"
2,2,3,2,3,"pde","change-metrics.csv"
3,2,3,3,3,"pde","change-metrics.csv"
0,2,0,0,0,"pde","change-metrics.csv"
31,2,32,31,32,"pde","change-metrics.csv"
12,3,21,11,20,"pde","change-metrics.csv"
24,3,46,23,45,"pde","change-metrics.csv"
2065,80,1302,553,409,"pde","change-metrics.csv"
386,22,265,175,150,"pde","change-metrics.csv"
21,2,28,21,28,"pde","change-metrics.csv"
5,3,10,4,9,"pde","change-metrics.csv"
157,20,138,43,31,"pde","change-metrics.csv"
19,2,20,19,20,"pde","change-metrics.csv"
25,6,31,17,22,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
219,3,92,160,59,"pde","change-metrics.csv"
6,4,10,3,4,"pde","change-metrics.csv"
152,23,105,37,25,"pde","change-metrics.csv"
140,22,192,55,75,"pde","change-metrics.csv"
113,18,117,52,49,"pde","change-metrics.csv"
226,6,13,103,11,"pde","change-metrics.csv"
25,14,17,10,4,"pde","change-metrics.csv"
10,5,27,6,17,"pde","change-metrics.csv"
49,3,28,41,19,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
397,23,418,109,109,"pde","change-metrics.csv"
35,2,48,35,48,"pde","change-metrics.csv"
163,23,127,34,54,"pde","change-metrics.csv"
148,16,282,50,84,"pde","change-metrics.csv"
27,4,16,13,14,"pde","change-metrics.csv"
20,5,24,10,13,"pde","change-metrics.csv"
20,8,25,6,10,"pde","change-metrics.csv"
83,7,43,30,33,"pde","change-metrics.csv"
293,17,50,116,23,"pde","change-metrics.csv"
680,23,186,237,95,"pde","change-metrics.csv"
35,4,37,19,26,"pde","change-metrics.csv"
108,20,185,22,67,"pde","change-metrics.csv"
48,14,36,11,8,"pde","change-metrics.csv"
8,4,11,4,8,"pde","change-metrics.csv"
55,9,61,27,38,"pde","change-metrics.csv"
31,3,35,17,31,"pde","change-metrics.csv"
1277,52,780,257,192,"pde","change-metrics.csv"
127,10,81,49,31,"pde","change-metrics.csv"
1919,72,2193,391,584,"pde","change-metrics.csv"
75,6,39,38,18,"pde","change-metrics.csv"
2,2,2,2,2,"pde","change-metrics.csv"
251,19,211,136,127,"pde","change-metrics.csv"
150,16,66,28,22,"pde","change-metrics.csv"
13,6,104,6,85,"pde","change-metrics.csv"
610,23,358,185,140,"pde","change-metrics.csv"
16,4,18,10,12,"pde","change-metrics.csv"
14,4,16,9,11,"pde","change-metrics.csv"
11,3,2,10,2,"pde","change-metrics.csv"
54,6,30,14,18,"pde","change-metrics.csv"
74,6,65,35,31,"pde","change-metrics.csv"
7,5,16,2,14,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
57,8,52,25,33,"pde","change-metrics.csv"
29,4,40,24,35,"pde","change-metrics.csv"
277,16,186,48,68,"pde","change-metrics.csv"
82,13,204,40,159,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
386,35,357,132,136,"pde","change-metrics.csv"
35,7,26,12,19,"pde","change-metrics.csv"
40,6,44,11,29,"pde","change-metrics.csv"
14,3,4,10,4,"pde","change-metrics.csv"
185,35,178,28,34,"pde","change-metrics.csv"
615,17,302,162,123,"pde","change-metrics.csv"
40,5,66,37,47,"pde","change-metrics.csv"
122,29,91,17,19,"pde","change-metrics.csv"
34,6,25,13,11,"pde","change-metrics.csv"
50,11,39,19,18,"pde","change-metrics.csv"
1,2,1,1,1,"pde","change-metrics.csv"
300,17,266,196,161,"pde","change-metrics.csv"
378,14,133,120,64,"pde","change-metrics.csv"
40,6,38,30,32,"pde","change-metrics.csv"
117,16,114,38,38,"pde","change-metrics.csv"
76,20,91,20,29,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
5,2,1,5,1,"pde","change-metrics.csv"
127,10,140,56,47,"pde","change-metrics.csv"
25,5,13,13,11,"pde","change-metrics.csv"
8,4,8,5,6,"pde","change-metrics.csv"
186,11,260,51,132,"pde","change-metrics.csv"
59,11,87,19,65,"pde","change-metrics.csv"
73,11,36,33,13,"pde","change-metrics.csv"
43,2,79,43,79,"pde","change-metrics.csv"
675,16,143,267,64,"pde","change-metrics.csv"
30,3,39,29,38,"pde","change-metrics.csv"
24,2,38,24,38,"pde","change-metrics.csv"
13,4,3,6,2,"pde","change-metrics.csv"
24,3,59,24,38,"pde","change-metrics.csv"
16,7,19,6,6,"pde","change-metrics.csv"
58,9,29,27,13,"pde","change-metrics.csv"
203,6,157,139,139,"pde","change-metrics.csv"
438,25,320,158,134,"pde","change-metrics.csv"
1363,51,596,341,81,"pde","change-metrics.csv"
734,52,603,92,112,"pde","change-metrics.csv"
1479,107,685,149,219,"pde","change-metrics.csv"
65,9,20,28,6,"pde","change-metrics.csv"
174,9,98,114,89,"pde","change-metrics.csv"
20,6,35,9,17,"pde","change-metrics.csv"
79,11,62,42,18,"pde","change-metrics.csv"
381,30,243,149,70,"pde","change-metrics.csv"
17,4,24,13,18,"pde","change-metrics.csv"
8,2,8,8,8,"pde","change-metrics.csv"
45,9,52,20,29,"pde","change-metrics.csv"
39,10,34,12,12,"pde","change-metrics.csv"
26,7,15,10,8,"pde","change-metrics.csv"
59,7,69,21,41,"pde","change-metrics.csv"
1167,23,810,803,687,"pde","change-metrics.csv"
82,7,124,44,75,"pde","change-metrics.csv"
38,11,147,12,53,"pde","change-metrics.csv"
271,13,39,107,25,"pde","change-metrics.csv"
51,7,70,24,45,"pde","change-metrics.csv"
0,2,0,0,0,"pde","change-metrics.csv"
530,20,411,105,93,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
70,13,45,21,20,"pde","change-metrics.csv"
2,2,2,2,2,"pde","change-metrics.csv"
40,7,39,13,23,"pde","change-metrics.csv"
44,9,65,18,29,"pde","change-metrics.csv"
1334,41,565,311,263,"pde","change-metrics.csv"
22,8,23,10,12,"pde","change-metrics.csv"
889,11,100,310,78,"pde","change-metrics.csv"
55,6,32,23,20,"pde","change-metrics.csv"
1,2,2,1,2,"pde","change-metrics.csv"
46,4,66,34,64,"pde","change-metrics.csv"
160,16,96,42,45,"pde","change-metrics.csv"
13,5,34,6,26,"pde","change-metrics.csv"
27,6,18,15,12,"pde","change-metrics.csv"
19,4,12,13,10,"pde","change-metrics.csv"
1670,85,1336,342,245,"pde","change-metrics.csv"
724,26,153,238,71,"pde","change-metrics.csv"
100,10,156,68,121,"pde","change-metrics.csv"
42,8,20,16,6,"pde","change-metrics.csv"
31,9,42,12,19,"pde","change-metrics.csv"
13,6,71,5,48,"pde","change-metrics.csv"
75,9,49,44,36,"pde","change-metrics.csv"
43,13,31,11,6,"pde","change-metrics.csv"
91,29,93,15,18,"pde","change-metrics.csv"
147,23,132,38,50,"pde","change-metrics.csv"
109,12,77,42,42,"pde","change-metrics.csv"
90,7,113,67,94,"pde","change-metrics.csv"
442,40,356,203,121,"pde","change-metrics.csv"
179,16,51,97,41,"pde","change-metrics.csv"
312,31,269,74,53,"pde","change-metrics.csv"
335,8,175,221,65,"pde","change-metrics.csv"
15,7,18,6,5,"pde","change-metrics.csv"
554,17,130,185,82,"pde","change-metrics.csv"
10,2,0,10,0,"pde","change-metrics.csv"
2814,64,956,491,256,"pde","change-metrics.csv"
39,10,27,14,8,"pde","change-metrics.csv"
177,18,128,74,65,"pde","change-metrics.csv"
413,20,373,112,223,"pde","change-metrics.csv"
15,5,8,8,6,"pde","change-metrics.csv"
145,16,111,24,24,"pde","change-metrics.csv"
12,3,4,10,4,"pde","change-metrics.csv"
159,9,197,75,72,"pde","change-metrics.csv"
22,5,33,19,30,"pde","change-metrics.csv"
337,36,186,80,45,"pde","change-metrics.csv"
22,4,22,21,21,"pde","change-metrics.csv"
4,2,4,4,4,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
852,34,806,233,226,"pde","change-metrics.csv"
41,7,21,10,11,"pde","change-metrics.csv"
1329,49,976,267,327,"pde","change-metrics.csv"
93,20,84,16,26,"pde","change-metrics.csv"
86,12,54,28,19,"pde","change-metrics.csv"
658,16,48,279,37,"pde","change-metrics.csv"
39,5,7,34,3,"pde","change-metrics.csv"
56,10,41,24,18,"pde","change-metrics.csv"
330,36,241,79,67,"pde","change-metrics.csv"
822,28,787,269,332,"pde","change-metrics.csv"
9,4,10,4,5,"pde","change-metrics.csv"
2,2,2,2,2,"pde","change-metrics.csv"
18,5,15,8,9,"pde","change-metrics.csv"
134,22,88,40,39,"pde","change-metrics.csv"
22,3,18,12,18,"pde","change-metrics.csv"
414,10,97,187,25,"pde","change-metrics.csv"
4,3,0,4,0,"pde","change-metrics.csv"
29,4,6,23,5,"pde","change-metrics.csv"
21,7,11,10,4,"pde","change-metrics.csv"
1505,124,1597,238,287,"pde","change-metrics.csv"
461,49,584,124,223,"pde","change-metrics.csv"
127,8,34,48,17,"pde","change-metrics.csv"
141,14,107,40,33,"pde","change-metrics.csv"
293,20,138,97,70,"pde","change-metrics.csv"
17,2,31,17,31,"pde","change-metrics.csv"
13,3,10,9,9,"pde","change-metrics.csv"
64,16,43,13,11,"pde","change-metrics.csv"
13,4,20,10,19,"pde","change-metrics.csv"
35,5,28,11,12,"pde","change-metrics.csv"
110,8,57,87,30,"pde","change-metrics.csv"
2,2,1,2,1,"pde","change-metrics.csv"
6,2,7,6,7,"pde","change-metrics.csv"
