"rfc","numberOfLinesOfCode","fanOut","wmc","numberOfPrivateMethods","directory","k"
12,27,3,4,0,"pde","single-version-ck-oo.csv"
57,106,15,25,1,"pde","single-version-ck-oo.csv"
21,35,5,11,1,"pde","single-version-ck-oo.csv"
95,220,13,46,5,"pde","single-version-ck-oo.csv"
15,32,1,9,0,"pde","single-version-ck-oo.csv"
14,26,4,8,0,"pde","single-version-ck-oo.csv"
11,21,2,5,1,"pde","single-version-ck-oo.csv"
52,102,10,26,0,"pde","single-version-ck-oo.csv"
8,13,3,4,0,"pde","single-version-ck-oo.csv"
13,34,1,7,0,"pde","single-version-ck-oo.csv"
42,75,4,28,0,"pde","single-version-ck-oo.csv"
132,280,14,50,10,"pde","single-version-ck-oo.csv"
133,222,11,70,0,"pde","single-version-ck-oo.csv"
69,156,10,29,7,"pde","single-version-ck-oo.csv"
208,638,15,98,22,"pde","single-version-ck-oo.csv"
76,130,19,22,6,"pde","single-version-ck-oo.csv"
28,45,6,12,2,"pde","single-version-ck-oo.csv"
6,16,1,5,0,"pde","single-version-ck-oo.csv"
30,50,7,10,0,"pde","single-version-ck-oo.csv"
12,24,2,5,0,"pde","single-version-ck-oo.csv"
5,20,0,5,0,"pde","single-version-ck-oo.csv"
34,75,6,14,3,"pde","single-version-ck-oo.csv"
227,379,25,125,4,"pde","single-version-ck-oo.csv"
12,9,6,2,0,"pde","single-version-ck-oo.csv"
13,42,2,8,1,"pde","single-version-ck-oo.csv"
6,10,2,3,0,"pde","single-version-ck-oo.csv"
26,59,5,25,0,"pde","single-version-ck-oo.csv"
17,37,0,13,0,"pde","single-version-ck-oo.csv"
10,15,4,3,0,"pde","single-version-ck-oo.csv"
5,11,0,3,0,"pde","single-version-ck-oo.csv"
175,384,23,99,7,"pde","single-version-ck-oo.csv"
11,30,2,8,0,"pde","single-version-ck-oo.csv"
24,60,2,7,0,"pde","single-version-ck-oo.csv"
76,98,9,23,1,"pde","single-version-ck-oo.csv"
2,4,0,1,0,"pde","single-version-ck-oo.csv"
16,28,4,9,0,"pde","single-version-ck-oo.csv"
43,71,13,12,1,"pde","single-version-ck-oo.csv"
73,147,4,28,4,"pde","single-version-ck-oo.csv"
16,32,3,12,0,"pde","single-version-ck-oo.csv"
9,23,2,7,0,"pde","single-version-ck-oo.csv"
65,130,17,33,3,"pde","single-version-ck-oo.csv"
52,122,8,18,2,"pde","single-version-ck-oo.csv"
8,15,5,5,0,"pde","single-version-ck-oo.csv"
54,95,11,31,6,"pde","single-version-ck-oo.csv"
47,77,7,23,3,"pde","single-version-ck-oo.csv"
47,239,8,16,1,"pde","single-version-ck-oo.csv"
64,173,4,39,2,"pde","single-version-ck-oo.csv"
135,259,27,49,4,"pde","single-version-ck-oo.csv"
5,7,2,2,0,"pde","single-version-ck-oo.csv"
6,14,0,5,0,"pde","single-version-ck-oo.csv"
3,6,1,2,0,"pde","single-version-ck-oo.csv"
11,17,4,3,0,"pde","single-version-ck-oo.csv"
54,62,9,21,0,"pde","single-version-ck-oo.csv"
2,6,0,2,0,"pde","single-version-ck-oo.csv"
39,102,5,19,3,"pde","single-version-ck-oo.csv"
80,134,14,30,9,"pde","single-version-ck-oo.csv"
20,27,5,5,0,"pde","single-version-ck-oo.csv"
21,47,3,11,0,"pde","single-version-ck-oo.csv"
8,22,0,5,0,"pde","single-version-ck-oo.csv"
179,272,19,50,11,"pde","single-version-ck-oo.csv"
47,75,8,21,2,"pde","single-version-ck-oo.csv"
1,3,0,1,0,"pde","single-version-ck-oo.csv"
54,77,11,24,3,"pde","single-version-ck-oo.csv"
14,49,2,16,1,"pde","single-version-ck-oo.csv"
82,146,16,30,2,"pde","single-version-ck-oo.csv"
12,19,3,6,0,"pde","single-version-ck-oo.csv"
20,75,1,13,0,"pde","single-version-ck-oo.csv"
15,42,4,6,1,"pde","single-version-ck-oo.csv"
26,91,3,12,0,"pde","single-version-ck-oo.csv"
140,253,16,78,9,"pde","single-version-ck-oo.csv"
47,152,3,13,4,"pde","single-version-ck-oo.csv"
6,13,2,4,0,"pde","single-version-ck-oo.csv"
9,38,1,4,0,"pde","single-version-ck-oo.csv"
33,76,2,16,1,"pde","single-version-ck-oo.csv"
27,58,4,15,0,"pde","single-version-ck-oo.csv"
4,16,1,5,0,"pde","single-version-ck-oo.csv"
12,35,1,13,0,"pde","single-version-ck-oo.csv"
9,16,1,4,1,"pde","single-version-ck-oo.csv"
68,110,8,33,4,"pde","single-version-ck-oo.csv"
41,73,10,21,1,"pde","single-version-ck-oo.csv"
14,29,1,8,0,"pde","single-version-ck-oo.csv"
13,34,3,4,0,"pde","single-version-ck-oo.csv"
101,161,17,52,1,"pde","single-version-ck-oo.csv"
7,13,1,5,0,"pde","single-version-ck-oo.csv"
29,100,6,16,1,"pde","single-version-ck-oo.csv"
315,624,26,167,10,"pde","single-version-ck-oo.csv"
67,108,6,24,3,"pde","single-version-ck-oo.csv"
24,41,7,10,1,"pde","single-version-ck-oo.csv"
6,25,0,7,0,"pde","single-version-ck-oo.csv"
48,93,3,23,1,"pde","single-version-ck-oo.csv"
79,142,18,19,6,"pde","single-version-ck-oo.csv"
17,126,3,9,1,"pde","single-version-ck-oo.csv"
2,5,0,2,0,"pde","single-version-ck-oo.csv"
1,3,0,1,0,"pde","single-version-ck-oo.csv"
4,12,3,4,0,"pde","single-version-ck-oo.csv"
183,460,25,71,11,"pde","single-version-ck-oo.csv"
35,51,8,17,2,"pde","single-version-ck-oo.csv"
3,6,1,2,0,"pde","single-version-ck-oo.csv"
12,76,0,7,0,"pde","single-version-ck-oo.csv"
21,68,6,16,0,"pde","single-version-ck-oo.csv"
47,84,11,32,0,"pde","single-version-ck-oo.csv"
37,53,7,10,2,"pde","single-version-ck-oo.csv"
97,198,14,45,10,"pde","single-version-ck-oo.csv"
100,233,10,73,3,"pde","single-version-ck-oo.csv"
19,36,6,6,1,"pde","single-version-ck-oo.csv"
1,0,0,0,0,"pde","single-version-ck-oo.csv"
53,62,12,16,3,"pde","single-version-ck-oo.csv"
72,152,7,35,7,"pde","single-version-ck-oo.csv"
7,23,0,5,0,"pde","single-version-ck-oo.csv"
11,42,1,12,0,"pde","single-version-ck-oo.csv"
103,210,10,59,10,"pde","single-version-ck-oo.csv"
150,338,13,87,10,"pde","single-version-ck-oo.csv"
24,50,5,15,0,"pde","single-version-ck-oo.csv"
122,274,10,39,14,"pde","single-version-ck-oo.csv"
21,27,5,7,0,"pde","single-version-ck-oo.csv"
34,59,8,12,0,"pde","single-version-ck-oo.csv"
13,25,4,8,0,"pde","single-version-ck-oo.csv"
33,51,7,21,1,"pde","single-version-ck-oo.csv"
24,39,5,13,0,"pde","single-version-ck-oo.csv"
130,282,11,53,11,"pde","single-version-ck-oo.csv"
21,54,3,19,0,"pde","single-version-ck-oo.csv"
36,76,5,24,0,"pde","single-version-ck-oo.csv"
11,21,3,3,0,"pde","single-version-ck-oo.csv"
150,228,18,68,1,"pde","single-version-ck-oo.csv"
15,33,1,6,3,"pde","single-version-ck-oo.csv"
153,315,14,53,12,"pde","single-version-ck-oo.csv"
69,119,8,36,4,"pde","single-version-ck-oo.csv"
27,58,4,18,0,"pde","single-version-ck-oo.csv"
32,75,3,24,2,"pde","single-version-ck-oo.csv"
11,21,1,5,0,"pde","single-version-ck-oo.csv"
78,154,7,42,0,"pde","single-version-ck-oo.csv"
19,30,6,8,1,"pde","single-version-ck-oo.csv"
13,27,2,8,0,"pde","single-version-ck-oo.csv"
24,28,1,9,0,"pde","single-version-ck-oo.csv"
6,10,2,3,0,"pde","single-version-ck-oo.csv"
49,106,8,25,0,"pde","single-version-ck-oo.csv"
21,57,1,12,0,"pde","single-version-ck-oo.csv"
7,18,0,6,0,"pde","single-version-ck-oo.csv"
22,96,3,10,0,"pde","single-version-ck-oo.csv"
49,68,8,17,2,"pde","single-version-ck-oo.csv"
90,180,13,57,4,"pde","single-version-ck-oo.csv"
19,28,2,9,0,"pde","single-version-ck-oo.csv"
25,66,5,14,1,"pde","single-version-ck-oo.csv"
9,12,3,2,0,"pde","single-version-ck-oo.csv"
67,108,12,19,4,"pde","single-version-ck-oo.csv"
42,71,7,23,1,"pde","single-version-ck-oo.csv"
35,73,9,12,2,"pde","single-version-ck-oo.csv"
18,29,3,6,0,"pde","single-version-ck-oo.csv"
7,18,1,7,0,"pde","single-version-ck-oo.csv"
23,212,0,16,1,"pde","single-version-ck-oo.csv"
15,30,2,11,0,"pde","single-version-ck-oo.csv"
5,7,3,2,0,"pde","single-version-ck-oo.csv"
6,11,2,3,0,"pde","single-version-ck-oo.csv"
7,10,1,3,0,"pde","single-version-ck-oo.csv"
51,113,7,26,2,"pde","single-version-ck-oo.csv"
30,48,3,16,0,"pde","single-version-ck-oo.csv"
25,50,3,20,1,"pde","single-version-ck-oo.csv"
65,164,12,52,1,"pde","single-version-ck-oo.csv"
16,30,1,6,3,"pde","single-version-ck-oo.csv"
18,34,2,8,0,"pde","single-version-ck-oo.csv"
57,89,17,25,1,"pde","single-version-ck-oo.csv"
26,67,6,16,4,"pde","single-version-ck-oo.csv"
2,6,0,2,0,"pde","single-version-ck-oo.csv"
78,145,10,50,1,"pde","single-version-ck-oo.csv"
10,18,3,6,0,"pde","single-version-ck-oo.csv"
65,113,8,37,1,"pde","single-version-ck-oo.csv"
87,283,7,57,7,"pde","single-version-ck-oo.csv"
93,214,13,45,11,"pde","single-version-ck-oo.csv"
15,30,7,10,0,"pde","single-version-ck-oo.csv"
13,43,1,13,1,"pde","single-version-ck-oo.csv"
7,10,3,3,0,"pde","single-version-ck-oo.csv"
4,16,2,2,0,"pde","single-version-ck-oo.csv"
11,26,0,9,0,"pde","single-version-ck-oo.csv"
226,411,10,105,9,"pde","single-version-ck-oo.csv"
17,45,5,10,0,"pde","single-version-ck-oo.csv"
101,215,13,46,8,"pde","single-version-ck-oo.csv"
25,36,4,11,0,"pde","single-version-ck-oo.csv"
93,147,13,50,9,"pde","single-version-ck-oo.csv"
34,65,2,14,2,"pde","single-version-ck-oo.csv"
7,15,1,6,0,"pde","single-version-ck-oo.csv"
48,95,14,21,1,"pde","single-version-ck-oo.csv"
6,10,2,3,0,"pde","single-version-ck-oo.csv"
26,84,5,16,0,"pde","single-version-ck-oo.csv"
31,38,7,12,1,"pde","single-version-ck-oo.csv"
54,84,16,15,1,"pde","single-version-ck-oo.csv"
7,15,1,5,0,"pde","single-version-ck-oo.csv"
59,138,4,35,0,"pde","single-version-ck-oo.csv"
21,62,4,10,0,"pde","single-version-ck-oo.csv"
6,22,0,9,0,"pde","single-version-ck-oo.csv"
38,75,2,13,2,"pde","single-version-ck-oo.csv"
4,9,2,1,0,"pde","single-version-ck-oo.csv"
32,70,6,8,2,"pde","single-version-ck-oo.csv"
28,41,6,10,0,"pde","single-version-ck-oo.csv"
20,47,1,16,1,"pde","single-version-ck-oo.csv"
14,46,3,6,1,"pde","single-version-ck-oo.csv"
18,43,4,6,0,"pde","single-version-ck-oo.csv"
8,27,1,8,0,"pde","single-version-ck-oo.csv"
9,16,2,5,0,"pde","single-version-ck-oo.csv"
8,20,2,6,0,"pde","single-version-ck-oo.csv"
15,24,6,4,1,"pde","single-version-ck-oo.csv"
19,37,6,19,0,"pde","single-version-ck-oo.csv"
47,92,0,32,0,"pde","single-version-ck-oo.csv"
30,72,5,16,1,"pde","single-version-ck-oo.csv"
68,97,10,32,3,"pde","single-version-ck-oo.csv"
156,280,17,75,3,"pde","single-version-ck-oo.csv"
60,115,11,28,4,"pde","single-version-ck-oo.csv"
12,19,3,7,0,"pde","single-version-ck-oo.csv"
65,152,11,35,11,"pde","single-version-ck-oo.csv"
56,95,10,16,1,"pde","single-version-ck-oo.csv"
94,296,10,41,6,"pde","single-version-ck-oo.csv"
274,504,23,142,12,"pde","single-version-ck-oo.csv"
8,13,3,3,0,"pde","single-version-ck-oo.csv"
135,378,19,57,14,"pde","single-version-ck-oo.csv"
174,325,22,42,13,"pde","single-version-ck-oo.csv"
5,16,0,5,0,"pde","single-version-ck-oo.csv"
7,12,0,3,0,"pde","single-version-ck-oo.csv"
5,9,1,3,0,"pde","single-version-ck-oo.csv"
77,230,8,55,1,"pde","single-version-ck-oo.csv"
35,62,9,14,0,"pde","single-version-ck-oo.csv"
26,63,3,22,0,"pde","single-version-ck-oo.csv"
195,514,10,76,24,"pde","single-version-ck-oo.csv"
17,38,3,9,0,"pde","single-version-ck-oo.csv"
4,13,0,4,0,"pde","single-version-ck-oo.csv"
45,115,3,29,1,"pde","single-version-ck-oo.csv"
5,6,1,2,0,"pde","single-version-ck-oo.csv"
67,152,17,35,1,"pde","single-version-ck-oo.csv"
17,22,8,6,0,"pde","single-version-ck-oo.csv"
17,42,1,11,1,"pde","single-version-ck-oo.csv"
23,62,2,17,1,"pde","single-version-ck-oo.csv"
16,35,1,11,0,"pde","single-version-ck-oo.csv"
229,338,16,124,5,"pde","single-version-ck-oo.csv"
6,14,1,4,0,"pde","single-version-ck-oo.csv"
87,220,7,62,3,"pde","single-version-ck-oo.csv"
79,163,11,12,5,"pde","single-version-ck-oo.csv"
27,37,7,7,0,"pde","single-version-ck-oo.csv"
1,3,0,1,0,"pde","single-version-ck-oo.csv"
234,588,28,177,23,"pde","single-version-ck-oo.csv"
47,70,7,17,3,"pde","single-version-ck-oo.csv"
3,6,0,2,0,"pde","single-version-ck-oo.csv"
42,81,3,25,2,"pde","single-version-ck-oo.csv"
0,0,0,0,0,"pde","single-version-ck-oo.csv"
4,8,1,2,0,"pde","single-version-ck-oo.csv"
10,23,6,8,0,"pde","single-version-ck-oo.csv"
11,27,1,7,0,"pde","single-version-ck-oo.csv"
53,90,11,25,3,"pde","single-version-ck-oo.csv"
25,84,3,8,1,"pde","single-version-ck-oo.csv"
86,115,20,29,2,"pde","single-version-ck-oo.csv"
5,9,1,3,0,"pde","single-version-ck-oo.csv"
124,358,10,97,3,"pde","single-version-ck-oo.csv"
258,440,43,115,11,"pde","single-version-ck-oo.csv"
21,40,5,11,0,"pde","single-version-ck-oo.csv"
18,30,4,9,0,"pde","single-version-ck-oo.csv"
18,29,2,9,0,"pde","single-version-ck-oo.csv"
4,7,1,3,0,"pde","single-version-ck-oo.csv"
139,381,13,96,1,"pde","single-version-ck-oo.csv"
15,27,7,8,0,"pde","single-version-ck-oo.csv"
63,125,10,32,2,"pde","single-version-ck-oo.csv"
23,54,1,10,1,"pde","single-version-ck-oo.csv"
3,11,0,3,0,"pde","single-version-ck-oo.csv"
8,22,1,7,0,"pde","single-version-ck-oo.csv"
28,110,3,16,1,"pde","single-version-ck-oo.csv"
31,92,6,10,0,"pde","single-version-ck-oo.csv"
67,98,12,29,4,"pde","single-version-ck-oo.csv"
51,216,10,57,0,"pde","single-version-ck-oo.csv"
20,30,8,10,1,"pde","single-version-ck-oo.csv"
74,128,24,46,6,"pde","single-version-ck-oo.csv"
14,25,1,6,0,"pde","single-version-ck-oo.csv"
52,106,11,20,2,"pde","single-version-ck-oo.csv"
61,150,8,39,0,"pde","single-version-ck-oo.csv"
61,145,9,29,7,"pde","single-version-ck-oo.csv"
3,6,1,2,0,"pde","single-version-ck-oo.csv"
50,109,9,18,0,"pde","single-version-ck-oo.csv"
72,151,9,44,4,"pde","single-version-ck-oo.csv"
2,3,1,1,0,"pde","single-version-ck-oo.csv"
6,8,2,2,0,"pde","single-version-ck-oo.csv"
36,63,2,16,0,"pde","single-version-ck-oo.csv"
10,20,4,5,0,"pde","single-version-ck-oo.csv"
5,7,2,2,0,"pde","single-version-ck-oo.csv"
6,15,0,5,0,"pde","single-version-ck-oo.csv"
18,44,1,11,0,"pde","single-version-ck-oo.csv"
4,10,2,4,0,"pde","single-version-ck-oo.csv"
19,55,3,8,0,"pde","single-version-ck-oo.csv"
36,57,0,18,0,"pde","single-version-ck-oo.csv"
128,197,21,45,6,"pde","single-version-ck-oo.csv"
35,87,6,23,3,"pde","single-version-ck-oo.csv"
29,50,4,17,0,"pde","single-version-ck-oo.csv"
15,27,3,5,1,"pde","single-version-ck-oo.csv"
37,45,5,17,0,"pde","single-version-ck-oo.csv"
16,27,5,10,0,"pde","single-version-ck-oo.csv"
5,9,2,3,0,"pde","single-version-ck-oo.csv"
9,10,1,5,0,"pde","single-version-ck-oo.csv"
9,22,0,5,0,"pde","single-version-ck-oo.csv"
50,124,9,23,5,"pde","single-version-ck-oo.csv"
15,24,7,8,0,"pde","single-version-ck-oo.csv"
2,6,0,2,0,"pde","single-version-ck-oo.csv"
81,155,10,47,4,"pde","single-version-ck-oo.csv"
20,40,6,14,0,"pde","single-version-ck-oo.csv"
25,40,5,10,1,"pde","single-version-ck-oo.csv"
19,52,2,10,0,"pde","single-version-ck-oo.csv"
4,8,0,3,0,"pde","single-version-ck-oo.csv"
41,88,4,20,4,"pde","single-version-ck-oo.csv"
15,26,1,7,0,"pde","single-version-ck-oo.csv"
108,240,12,26,7,"pde","single-version-ck-oo.csv"
21,46,6,12,0,"pde","single-version-ck-oo.csv"
10,14,4,3,0,"pde","single-version-ck-oo.csv"
40,110,6,17,6,"pde","single-version-ck-oo.csv"
4,12,0,4,0,"pde","single-version-ck-oo.csv"
5,7,1,2,0,"pde","single-version-ck-oo.csv"
6,11,2,3,0,"pde","single-version-ck-oo.csv"
34,44,7,15,0,"pde","single-version-ck-oo.csv"
13,37,3,6,1,"pde","single-version-ck-oo.csv"
30,50,6,10,0,"pde","single-version-ck-oo.csv"
45,63,12,13,3,"pde","single-version-ck-oo.csv"
440,1087,42,257,29,"pde","single-version-ck-oo.csv"
81,189,8,69,0,"pde","single-version-ck-oo.csv"
36,84,2,33,1,"pde","single-version-ck-oo.csv"
26,72,3,16,2,"pde","single-version-ck-oo.csv"
17,35,7,10,0,"pde","single-version-ck-oo.csv"
14,66,2,12,1,"pde","single-version-ck-oo.csv"
20,41,7,14,0,"pde","single-version-ck-oo.csv"
4,10,1,3,0,"pde","single-version-ck-oo.csv"
5,15,0,3,0,"pde","single-version-ck-oo.csv"
73,127,6,34,2,"pde","single-version-ck-oo.csv"
24,33,3,11,0,"pde","single-version-ck-oo.csv"
14,32,3,8,0,"pde","single-version-ck-oo.csv"
31,62,6,6,1,"pde","single-version-ck-oo.csv"
66,139,2,40,9,"pde","single-version-ck-oo.csv"
34,58,2,22,0,"pde","single-version-ck-oo.csv"
4,7,2,1,0,"pde","single-version-ck-oo.csv"
13,30,2,11,1,"pde","single-version-ck-oo.csv"
18,33,0,11,0,"pde","single-version-ck-oo.csv"
9,14,2,6,0,"pde","single-version-ck-oo.csv"
54,98,6,29,0,"pde","single-version-ck-oo.csv"
35,101,4,18,4,"pde","single-version-ck-oo.csv"
52,109,10,41,2,"pde","single-version-ck-oo.csv"
122,238,20,46,13,"pde","single-version-ck-oo.csv"
12,25,2,9,0,"pde","single-version-ck-oo.csv"
39,65,4,19,1,"pde","single-version-ck-oo.csv"
21,27,4,5,1,"pde","single-version-ck-oo.csv"
46,106,9,40,0,"pde","single-version-ck-oo.csv"
22,85,1,14,0,"pde","single-version-ck-oo.csv"
117,176,23,43,4,"pde","single-version-ck-oo.csv"
14,89,5,3,1,"pde","single-version-ck-oo.csv"
50,76,9,27,1,"pde","single-version-ck-oo.csv"
14,23,4,7,0,"pde","single-version-ck-oo.csv"
30,53,8,14,1,"pde","single-version-ck-oo.csv"
87,122,10,38,1,"pde","single-version-ck-oo.csv"
23,46,6,10,2,"pde","single-version-ck-oo.csv"
199,374,22,68,20,"pde","single-version-ck-oo.csv"
49,156,4,48,1,"pde","single-version-ck-oo.csv"
494,945,21,286,45,"pde","single-version-ck-oo.csv"
47,79,9,29,3,"pde","single-version-ck-oo.csv"
5,7,2,2,0,"pde","single-version-ck-oo.csv"
40,109,3,21,0,"pde","single-version-ck-oo.csv"
12,23,1,9,0,"pde","single-version-ck-oo.csv"
15,31,1,8,3,"pde","single-version-ck-oo.csv"
105,396,15,49,13,"pde","single-version-ck-oo.csv"
16,28,1,4,1,"pde","single-version-ck-oo.csv"
18,39,3,8,1,"pde","single-version-ck-oo.csv"
4,7,1,3,0,"pde","single-version-ck-oo.csv"
40,97,2,33,0,"pde","single-version-ck-oo.csv"
37,65,10,5,1,"pde","single-version-ck-oo.csv"
33,165,12,13,1,"pde","single-version-ck-oo.csv"
13,25,5,3,0,"pde","single-version-ck-oo.csv"
70,92,8,22,5,"pde","single-version-ck-oo.csv"
21,70,2,14,1,"pde","single-version-ck-oo.csv"
35,118,7,13,2,"pde","single-version-ck-oo.csv"
13,21,1,6,0,"pde","single-version-ck-oo.csv"
18,33,5,9,0,"pde","single-version-ck-oo.csv"
26,80,3,17,3,"pde","single-version-ck-oo.csv"
14,20,2,8,0,"pde","single-version-ck-oo.csv"
4,22,0,3,0,"pde","single-version-ck-oo.csv"
4,20,1,6,0,"pde","single-version-ck-oo.csv"
37,57,6,20,1,"pde","single-version-ck-oo.csv"
156,351,21,101,10,"pde","single-version-ck-oo.csv"
49,134,6,28,3,"pde","single-version-ck-oo.csv"
37,71,8,20,1,"pde","single-version-ck-oo.csv"
11,31,0,8,1,"pde","single-version-ck-oo.csv"
8,19,2,5,0,"pde","single-version-ck-oo.csv"
2,6,0,2,0,"pde","single-version-ck-oo.csv"
72,169,7,50,1,"pde","single-version-ck-oo.csv"
81,116,19,38,0,"pde","single-version-ck-oo.csv"
57,113,3,34,3,"pde","single-version-ck-oo.csv"
95,138,5,43,9,"pde","single-version-ck-oo.csv"
39,79,9,16,2,"pde","single-version-ck-oo.csv"
33,51,7,17,5,"pde","single-version-ck-oo.csv"
6,11,2,4,0,"pde","single-version-ck-oo.csv"
41,105,6,34,3,"pde","single-version-ck-oo.csv"
14,27,4,9,0,"pde","single-version-ck-oo.csv"
9,23,2,4,1,"pde","single-version-ck-oo.csv"
52,111,5,35,6,"pde","single-version-ck-oo.csv"
7,11,4,2,0,"pde","single-version-ck-oo.csv"
15,46,5,2,0,"pde","single-version-ck-oo.csv"
93,134,11,53,3,"pde","single-version-ck-oo.csv"
109,196,12,33,7,"pde","single-version-ck-oo.csv"
66,101,14,18,5,"pde","single-version-ck-oo.csv"
80,149,14,28,3,"pde","single-version-ck-oo.csv"
15,43,2,9,0,"pde","single-version-ck-oo.csv"
43,76,11,16,2,"pde","single-version-ck-oo.csv"
7,10,2,2,0,"pde","single-version-ck-oo.csv"
11,30,0,10,0,"pde","single-version-ck-oo.csv"
101,292,9,80,7,"pde","single-version-ck-oo.csv"
44,85,8,27,1,"pde","single-version-ck-oo.csv"
204,307,21,94,7,"pde","single-version-ck-oo.csv"
68,202,5,38,6,"pde","single-version-ck-oo.csv"
122,316,14,101,4,"pde","single-version-ck-oo.csv"
14,30,5,14,0,"pde","single-version-ck-oo.csv"
9,17,2,4,0,"pde","single-version-ck-oo.csv"
15,38,3,3,0,"pde","single-version-ck-oo.csv"
13,37,3,21,1,"pde","single-version-ck-oo.csv"
51,162,6,28,3,"pde","single-version-ck-oo.csv"
19,39,7,13,0,"pde","single-version-ck-oo.csv"
16,67,3,21,0,"pde","single-version-ck-oo.csv"
21,55,1,16,1,"pde","single-version-ck-oo.csv"
5,30,1,6,0,"pde","single-version-ck-oo.csv"
16,39,7,7,0,"pde","single-version-ck-oo.csv"
62,84,12,30,7,"pde","single-version-ck-oo.csv"
34,84,4,19,0,"pde","single-version-ck-oo.csv"
107,276,11,54,7,"pde","single-version-ck-oo.csv"
23,33,3,7,1,"pde","single-version-ck-oo.csv"
42,85,6,19,1,"pde","single-version-ck-oo.csv"
26,37,4,8,0,"pde","single-version-ck-oo.csv"
53,71,9,21,1,"pde","single-version-ck-oo.csv"
101,250,17,32,9,"pde","single-version-ck-oo.csv"
13,25,4,3,0,"pde","single-version-ck-oo.csv"
9,20,2,5,0,"pde","single-version-ck-oo.csv"
6,10,2,3,0,"pde","single-version-ck-oo.csv"
30,53,8,14,1,"pde","single-version-ck-oo.csv"
31,50,3,14,1,"pde","single-version-ck-oo.csv"
150,349,27,89,15,"pde","single-version-ck-oo.csv"
7,11,2,3,0,"pde","single-version-ck-oo.csv"
218,370,6,101,3,"pde","single-version-ck-oo.csv"
39,84,6,17,1,"pde","single-version-ck-oo.csv"
2,3,1,1,0,"pde","single-version-ck-oo.csv"
40,85,12,15,1,"pde","single-version-ck-oo.csv"
50,96,8,26,4,"pde","single-version-ck-oo.csv"
14,37,2,4,0,"pde","single-version-ck-oo.csv"
7,10,0,1,0,"pde","single-version-ck-oo.csv"
16,31,8,9,1,"pde","single-version-ck-oo.csv"
132,402,35,53,5,"pde","single-version-ck-oo.csv"
140,250,13,65,6,"pde","single-version-ck-oo.csv"
23,40,7,13,3,"pde","single-version-ck-oo.csv"
13,29,0,11,0,"pde","single-version-ck-oo.csv"
15,23,6,4,1,"pde","single-version-ck-oo.csv"
10,27,2,2,0,"pde","single-version-ck-oo.csv"
37,83,10,12,0,"pde","single-version-ck-oo.csv"
15,26,3,8,0,"pde","single-version-ck-oo.csv"
16,23,5,3,0,"pde","single-version-ck-oo.csv"
61,116,12,33,1,"pde","single-version-ck-oo.csv"
9,18,0,5,0,"pde","single-version-ck-oo.csv"
273,355,13,137,16,"pde","single-version-ck-oo.csv"
87,152,10,46,1,"pde","single-version-ck-oo.csv"
55,140,13,28,4,"pde","single-version-ck-oo.csv"
92,185,21,84,0,"pde","single-version-ck-oo.csv"
58,142,3,34,5,"pde","single-version-ck-oo.csv"
8,16,2,3,0,"pde","single-version-ck-oo.csv"
64,171,5,29,1,"pde","single-version-ck-oo.csv"
2,6,0,2,0,"pde","single-version-ck-oo.csv"
419,801,42,197,14,"pde","single-version-ck-oo.csv"
28,38,3,14,0,"pde","single-version-ck-oo.csv"
53,83,6,25,0,"pde","single-version-ck-oo.csv"
11,21,1,5,0,"pde","single-version-ck-oo.csv"
22,29,7,5,0,"pde","single-version-ck-oo.csv"
14,27,2,8,0,"pde","single-version-ck-oo.csv"
11,25,4,8,0,"pde","single-version-ck-oo.csv"
106,272,11,50,7,"pde","single-version-ck-oo.csv"
38,78,7,25,2,"pde","single-version-ck-oo.csv"
93,187,15,51,0,"pde","single-version-ck-oo.csv"
1,3,0,1,0,"pde","single-version-ck-oo.csv"
4,15,1,2,0,"pde","single-version-ck-oo.csv"
2,3,1,1,0,"pde","single-version-ck-oo.csv"
69,161,8,23,2,"pde","single-version-ck-oo.csv"
6,23,0,8,0,"pde","single-version-ck-oo.csv"
342,677,35,158,21,"pde","single-version-ck-oo.csv"
14,41,5,12,0,"pde","single-version-ck-oo.csv"
17,33,2,9,1,"pde","single-version-ck-oo.csv"
83,153,10,55,0,"pde","single-version-ck-oo.csv"
33,36,12,7,0,"pde","single-version-ck-oo.csv"
22,54,0,9,2,"pde","single-version-ck-oo.csv"
60,89,9,34,0,"pde","single-version-ck-oo.csv"
94,238,12,36,5,"pde","single-version-ck-oo.csv"
19,50,7,11,0,"pde","single-version-ck-oo.csv"
5,7,2,2,0,"pde","single-version-ck-oo.csv"
18,39,2,7,0,"pde","single-version-ck-oo.csv"
19,36,3,10,0,"pde","single-version-ck-oo.csv"
25,55,2,10,0,"pde","single-version-ck-oo.csv"
29,56,6,16,5,"pde","single-version-ck-oo.csv"
8,21,2,5,0,"pde","single-version-ck-oo.csv"
9,13,4,4,0,"pde","single-version-ck-oo.csv"
2,6,0,2,0,"pde","single-version-ck-oo.csv"
80,168,17,49,0,"pde","single-version-ck-oo.csv"
21,62,6,6,1,"pde","single-version-ck-oo.csv"
29,58,7,17,1,"pde","single-version-ck-oo.csv"
33,65,7,20,0,"pde","single-version-ck-oo.csv"
83,196,9,32,10,"pde","single-version-ck-oo.csv"
25,50,5,13,2,"pde","single-version-ck-oo.csv"
24,18,2,6,0,"pde","single-version-ck-oo.csv"
25,41,5,13,0,"pde","single-version-ck-oo.csv"
